Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC01AA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC01AA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC01AA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xC01AA530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 0/The operation completed successfully.; Action: receive timeout; m_hCom=0xCE43A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x79C5A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x6FB0A530
